Region,Sales,MarketingSpend,Quarter
North,598.0,205.13,Q2
West,534.84,155.65,Q4
East,543.96,162.62,Q4
South,392.85,87.78,Q1
North,979.87,293.41,Q4
North,771.07,222.66,Q3
North,521.3,166.07,Q1
West,598.48,154.73,Q1
East,353.8,121.72,Q2
East,618.06,231.4,Q4
North,873.79,258.87,Q2
West,376.9,125.12,Q3
East,644.51,214.06,Q1
North,761.92,216.54,Q1
North,823.31,253.72,Q1
North,984.52,295.73,Q3
North,663.19,201.89,Q3
South,386.94,92.89,Q2
South,366.57,110.71,Q2
North,577.63,188.23,Q2
East,488.43,190.06,Q4
North,751.17,254.13,Q1
North,741.5,287.05,Q1
North,824.08,224.2,Q2
South,501.95,176.75,Q1
East,718.03,220.91,Q2
North,660.3,263.78,Q4
South,908.03,248.16,Q4
South,593.85,152.96,Q3
North,571.43,153.45,Q4
East,339.37,38.09,Q2
North,772.37,215.94,Q4
North,666.48,177.17,Q3
West,607.1,186.64,Q1
West,570.99,181.55,Q2
East,489.08,203.01,Q1
North,572.98,200.41,Q3
North,472.77,124.52,Q3
East,433.02,102.95,Q3
South,628.46,203.3,Q1
North,732.11,180.03,Q1
South,313.14,148.89,Q1
North,725.98,253.18,Q1
West,557.8,153.26,Q3
North,567.42,118.83,Q3
East,523.06,197.53,Q2
North,708.73,209.18,Q2
South,328.55,135.7,Q1
South,553.67,118.27,Q4
North,784.12,217.25,Q4
West,662.46,198.9,Q3
East,658.07,198.83,Q3
West,293.35,74.5,Q3
West,359.33,126.48,Q2
South,577.26,141.15,Q2
West,577.07,168.85,Q3
North,777.26,236.79,Q3
North,1277.91,398.81,Q3
North,785.63,257.04,Q4
North,870.33,227.36,Q2
North,843.1,206.91,Q4
North,797.71,277.64,Q4
East,452.71,145.78,Q3
North,813.85,221.7,Q3
North,584.08,221.76,Q1
South,464.48,142.81,Q1
North,627.2,223.54,Q4
East,512.28,155.71,Q2
North,1047.2,375.98,Q3
West,219.91,118.63,Q3
East,602.94,173.41,Q4
North,458.09,166.57,Q1
North,629.21,208.12,Q2
East,663.34,240.06,Q1
East,509.64,123.94,Q1
East,338.34,122.08,Q1
East,392.7,149.56,Q1
North,801.94,187.82,Q3
North,590.45,141.64,Q3
North,732.47,158.56,Q1
West,506.84,143.97,Q2
East,402.26,142.2,Q4
North,1021.59,351.55,Q2
North,795.09,240.75,Q2
North,396.23,167.73,Q2
North,727.97,176.99,Q1
East,400.73,69.12,Q3
East,627.87,186.69,Q2
West,381.12,125.86,Q1
South,482.79,143.86,Q2
North,775.75,170.7,Q2
East,629.86,186.28,Q1
East,319.96,56.85,Q3
South,449.82,155.04,Q3
East,428.76,139.63,Q4
South,402.0,92.4,Q1
South,764.82,214.03,Q4
South,560.75,136.45,Q4
North,510.87,151.38,Q4
North,837.68,279.96,Q3
North,1018.32,275.92,Q1
East,654.87,211.58,Q4
North,472.09,125.72,Q1
South,427.36,104.42,Q1
West,690.04,203.8,Q3
North,593.85,147.1,Q4
South,566.57,153.36,Q4
East,616.2,148.92,Q1
North,560.96,227.23,Q2
North,691.07,208.38,Q3
North,213.81,43.15,Q3
North,546.34,170.32,Q3
West,462.11,135.26,Q3
East,312.83,87.22,Q4
East,744.86,241.88,Q4
West,285.48,108.37,Q2
East,433.99,114.28,Q3
North,719.61,198.61,Q3
West,716.19,206.61,Q1
South,284.62,16.33,Q4
East,674.47,156.89,Q3
West,501.53,191.47,Q2
North,552.77,215.18,Q2
North,769.32,223.32,Q4
North,729.86,236.25,Q2
South,409.97,132.33,Q2
East,510.47,245.51,Q4
West,442.2,166.25,Q3
North,717.03,211.27,Q3
South,599.32,151.13,Q2
South,737.9,173.18,Q2
North,514.33,160.4,Q3
North,1019.96,283.3,Q4
North,407.19,79.49,Q2
West,477.23,123.77,Q1
North,788.25,204.03,Q4
South,542.15,213.26,Q2
East,406.6,148.43,Q2
North,668.78,200.39,Q1
West,426.05,172.21,Q1
West,411.6,125.8,Q3
North,827.44,222.39,Q4
South,553.55,211.76,Q4
North,596.06,194.99,Q3
North,834.94,219.36,Q4
North,746.09,218.12,Q4
East,621.93,160.31,Q4
South,594.44,136.85,Q4
North,575.65,200.48,Q4
North,615.97,242.07,Q1
West,612.09,141.67,Q4
North,791.56,254.36,Q1
North,696.86,189.54,Q4
South,517.6,140.67,Q3
West,691.65,189.72,Q2
North,611.26,157.46,Q1
East,582.06,176.07,Q4
East,469.67,115.97,Q3
North,667.35,208.32,Q2
East,664.82,197.94,Q1
North,823.81,239.97,Q2
East,622.03,159.38,Q3
East,695.82,191.44,Q1
South,503.15,173.61,Q2
North,802.29,255.71,Q4
East,453.46,106.71,Q1
North,748.62,227.57,Q2
North,680.48,226.69,Q3
North,714.55,164.28,Q3
South,589.27,193.08,Q1
East,377.27,93.3,Q2
North,1013.86,321.28,Q1
South,349.1,81.83,Q1
North,517.87,101.21,Q2
East,673.72,153.29,Q2
North,818.75,247.07,Q4
East,593.62,185.88,Q2
North,794.25,211.15,Q3
West,498.16,168.61,Q1
North,565.41,119.78,Q1
North,711.37,211.43,Q3
North,598.43,143.2,Q2
West,646.27,174.33,Q3
West,477.94,144.8,Q3
North,576.18,147.04,Q4
East,451.79,124.0,Q3
East,561.94,198.77,Q1
South,415.44,107.33,Q3
South,376.67,138.07,Q1
North,736.55,187.07,Q1
North,736.74,236.92,Q1
West,423.96,170.44,Q2
West,429.34,54.65,Q4
East,534.81,136.54,Q1
North,482.79,162.15,Q1
North,488.88,140.57,Q2
East,392.23,128.8,Q1
West,467.98,122.27,Q3
West,546.64,166.59,Q3
East,721.3,211.72,Q4
